EventSequence,Label
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 4, 4, 1, 2, 1, 2, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 4, 1, 2]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 1]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 1, 2, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 1]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 1, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 4, 1, 2, 1, 2, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 2, 4, 1, 2, 1, 1, 2, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 4, 4, 1, 2, 1, 2, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 1, 2, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[1, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 4, 1, 2, 1, 2, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 4, 4, 1, 2, 1, 2, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 2, 1, 2, 1, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 4, 1, 2]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 1]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 6, 3, 7, 6, 4, 4, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 6, 3, 7, 6, 4, 4, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 2, 2, 4, 1, 1, 2, 1, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 2, 4, 1, 2, 1, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 4, 1, 2, 4, 4, 1, 2, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 1, 2, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 1]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 4, 3, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 4, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 4, 4, 1, 2, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 4, 4, 1, 2, 1, 2, 4, 1]",Normal
"[3, 4, 3, 3, 1, 2, 4, 1, 2, 1, 2, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 1, 4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 3, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4]",Normal
"[3, 3, 3, 4, 1, 2, 4, 1, 2, 1, 2, 4, 4]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 3, 4, 1, 2, 1, 2, 1, 2, 4, 4, 4, 1]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 4, 3, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 1, 2, 4, 1, 2, 4, 4, 4, 4, 4, 8, 8, 8]",Normal
"[3, 3, 4, 3, 1, 2, 4, 4, 1, 2, 1, 2, 4]",Normal
